Object,District,Date,Day,Hour,Latitude,Longitude
Property Lost,C11,2016-02-01 08:00:00,Monday,8,42.30097791,-71.07077333
Harassment,D14,2016-02-01 00:00:00,Monday,0,42.35687627,-71.16434675
Larceny,C6,2016-02-01 09:00:00,Monday,9,42.34234193,-71.05633276
Investigate Person,A7,2016-02-12 00:00:00,Friday,0,42.38630618,-71.00772965
Larceny,A1,2016-02-25 12:15:00,Thursday,12,42.35543089,-71.05767661
Property Lost,D4,2016-02-01 12:00:00,Monday,12,42.3494205,-71.083158
Fraud,C11,2016-02-26 09:00:00,Friday,9,42.30650674,-71.05756867
Fraud,C6,2016-02-01 11:00:00,Monday,11,42.34128751,-71.05467933
Property Lost,D4,2016-02-01 00:00:00,Monday,0,42.34410718,-71.1018026
Fraud,B3,2016-02-10 16:47:00,Wednesday,16,42.29714531,-71.07409528
Property Lost,D4,2016-02-01 00:00:00,Monday,0,42.35055412,-71.09056227
Fraud,B3,2016-02-15 13:52:00,Monday,13,42.28048456,-71.09256731
Other,D4,2016-02-01 12:00:00,Monday,12,42.33856155,-71.07063441
Property Lost,B2,2016-02-01 12:05:00,Monday,12,42.32655484,-71.09219288
Fraud,A7,2016-02-11 08:00:00,Thursday,8,42.36943145,-71.03917179
Warrant Arrests,A7,2016-02-11 08:00:00,Thursday,8,42.36943145,-71.03917179
Property Lost,B2,2016-02-06 14:40:00,Saturday,14,42.3274171,-71.07781067
Confidence Games,A15,2016-02-22 19:02:00,Monday,19,42.37474921,-71.05270605
Fraud,C11,2016-02-26 09:00:00,Friday,9,42.2843982,-71.06468373
Other,C11,2016-02-15 08:00:00,Monday,8,42.27230624,-71.06721386
Vandalism,C11,2016-02-15 08:00:00,Monday,8,42.27230624,-71.06721386
Harassment,D4,2016-02-01 12:00:00,Monday,12,42.34701666,-71.06886238
Missing Person Located,D14,2016-02-01 13:00:00,Monday,13,42.35811526,-71.12761368
Confidence Games,C11,2016-02-01 13:00:00,Monday,13,42.32029322,-71.05676992
Fraud,E13,2016-02-01 09:00:00,Monday,9,42.30734156,-71.1054409
Investigate Person,D14,2016-02-06 18:00:00,Saturday,18,42.32866284,-71.08563401
Harassment,B3,2016-02-01 15:08:00,Monday,15,42.27430113,-71.07196905
Harassment,D14,2016-02-22 19:06:00,Monday,19,42.3458376,-71.14492138
Investigate Person,C11,2016-02-01 20:12:00,Monday,20,42.28676255,-71.0545203
Investigate Person,B3,2016-02-27 09:00:00,Saturday,9,42.2887411,-71.09117797
Larceny,D14,2016-02-16 00:00:00,Tuesday,0,42.3499624,-71.14762531
Confidence Games,E5,2016-02-01 08:00:00,Monday,8,42.29255618,-71.11974225
Fraud,E5,2016-02-03 09:00:00,Wednesday,9,42.28003707,-71.13795014
Larceny,A7,2016-02-10 10:00:00,Wednesday,10,42.37766,-71.03560198
Larceny From Motor Vehicle,B2,2016-02-28 03:00:00,Sunday,3,42.31026891,-71.08931055
Property Lost,A7,2016-02-28 00:00:00,Sunday,0,42.39269663,-71.00842413
Larceny,B2,2016-02-12 00:00:00,Friday,0,42.32107166,-71.08510371
Confidence Games,C6,2016-02-08 00:00:00,Monday,0,42.38584106,-71.07759142
Counterfeiting,D4,2016-02-27 12:48:00,Saturday,12,42.3503787,-71.07626098
Other,B2,2016-02-23 12:54:00,Tuesday,12,42.31332153,-71.07591511
Larceny,D4,2016-02-20 00:00:00,Saturday,0,42.34147117,-71.06787918
Fraud,C11,2016-02-13 10:10:00,Saturday,10,42.29623685,-71.04853645
Fraud,E18,2016-02-23 00:00:00,Tuesday,0,42.26361745,-71.10237387
Motor Vehicle Accident Response,B2,2016-02-08 18:00:00,Monday,18,42.33380683,-71.10377843
Auto Theft,E13,2016-02-01 01:00:00,Monday,1,42.30926218,-71.10242845
Missing Person Reported,B3,2016-02-25 16:00:00,Thursday,16,42.34020839,-71.07371512
Larceny,D14,2016-02-26 00:00:00,Friday,0,42.34819899,-71.13941863
Property Lost,D14,2016-02-01 12:00:00,Monday,12,42.35733055,-71.15356929
Police Service Incidents,B3,2016-02-27 13:00:00,Saturday,13,42.29540175,-71.08237834
Fraud,B3,2016-02-19 10:00:00,Friday,10,42.28553375,-71.09422962
Property Lost,E18,2016-02-01 00:00:00,Monday,0,42.26441291,-71.11619038
Harassment,D14,2016-02-15 12:05:00,Monday,12,42.34390336,-71.14478233
Fraud,B3,2016-02-13 17:00:00,Saturday,17,42.27997886,-71.07684218
Larceny,C6,2016-02-20 00:00:00,Saturday,0,42.34234193,-71.05633276
Property Lost,C6,2016-02-20 18:00:00,Saturday,18,42.33866399,-71.05061235
Harassment,E13,2016-02-26 12:00:00,Friday,12,42.32865366,-71.10968278
Residential Burglary,A1,2016-02-05 11:00:00,Friday,11,42.34935468,-71.0675576
Warrant Arrests,C11,2016-02-29 12:00:00,Monday,12,42.29861807,-71.06064186
Counterfeiting,A1,2016-02-28 00:00:00,Sunday,0,42.3640075,-71.05616211
Investigate Property,D4,2016-02-15 12:00:00,Monday,12,42.35264621,-71.07373272
Confidence Games,B3,2016-02-10 10:56:00,Wednesday,10,42.28127425,-71.08654557
Property Lost,C11,2016-02-10 11:00:00,Wednesday,11,42.28772691,-71.05350569
Property Lost,B3,2016-02-01 00:00:00,Monday,0,42.28465991,-71.07839997
Confidence Games,D14,2016-02-10 09:00:00,Wednesday,9,42.35923786,-71.13656085
Fraud,B3,2016-02-28 12:00:00,Sunday,12,42.28431486,-71.07410838
Counterfeiting,B3,2016-02-24 00:00:00,Wednesday,0,42.27249455,-71.08630841
Larceny,B3,2016-02-24 00:00:00,Wednesday,0,42.27249455,-71.08630841
Fraud,B3,2016-02-24 00:00:00,Wednesday,0,42.27249455,-71.08630841
Fraud,C11,2016-02-28 12:00:00,Sunday,12,42.35358129,-71.06236665
Missing Person Located,A15,2016-02-01 10:00:00,Monday,10,42.37829205,-71.05387024
Motor Vehicle Accident Response,A15,2016-02-26 13:23:00,Friday,13,42.37749764,-71.05031219
Police Service Incidents,C11,2016-02-22 15:09:00,Monday,15,42.28741838,-71.0619078
Larceny,E18,2016-02-02 11:06:00,Tuesday,11,42.25632224,-71.11959219
Property Lost,A15,2016-02-22 00:00:00,Monday,0,42.37761517,-71.05746278
Missing Person Located,B3,2016-02-29 12:00:00,Monday,12,42.24973808,-71.13094002
Missing Person Reported,B3,2016-02-29 12:00:00,Monday,12,42.24973808,-71.13094002
Vandalism,B3,2016-02-15 09:00:00,Monday,9,42.28465991,-71.07839997
Vandalism,B3,2016-02-22 12:00:00,Monday,12,42.29600751,-71.08387509
Motor Vehicle Accident Response,C6,2016-02-15 11:00:00,Monday,11,42.35156644,-71.04835172
Harassment,D4,2016-02-12 12:00:00,Friday,12,42.3503787,-71.07626098
Harassment,A7,2016-02-14 12:00:00,Sunday,12,42.37620267,-71.03979926
Harassment,E18,2016-02-01 00:00:00,Monday,0,42.24229095,-71.13705184
Larceny,B3,2016-02-02 12:00:00,Tuesday,12,42.28464725,-71.09473285
Larceny,A1,2016-02-10 09:00:00,Wednesday,9,42.36243437,-71.0639181
Counterfeiting,A1,2016-02-10 09:00:00,Wednesday,9,42.36243437,-71.0639181
Investigate Property,A1,2016-02-08 12:40:00,Monday,12,42.3627524,-71.05556461
Larceny From Motor Vehicle,D4,2016-02-23 09:00:00,Tuesday,9,42.33520569,-71.07110315
Other,E13,2016-02-15 10:30:00,Monday,10,42.32291406,-71.10328402
Fraud,B2,2016-02-10 00:00:00,Wednesday,0,42.29894455,-71.10233161
Fraud,B3,2016-02-28 09:00:00,Sunday,9,42.28161533,-71.08086179
Harassment,B2,2016-02-27 13:16:00,Saturday,13,42.32643963,-71.07577308
Fraud,D4,2016-02-24 12:00:00,Wednesday,12,42.34449084,-71.0692566
Confidence Games,D14,2016-02-21 14:39:00,Sunday,14,42.35766829,-71.12729676
Other,C6,2016-02-25 10:52:00,Thursday,10,42.32779976,-71.06771009
Residential Burglary,D4,2016-02-01 00:00:00,Monday,0,42.33721215,-71.07597603
Robbery,D14,2016-02-02 09:30:00,Tuesday,9,42.35329808,-71.13504948
Fraud,C11,2016-02-05 13:45:00,Friday,13,42.29191251,-71.07049431
Investigate Property,B2,2016-02-28 22:00:00,Sunday,22,42.31026396,-71.0820187
Fraud,B3,2016-02-19 14:05:00,Friday,14,42.28621298,-71.09330084
Fraud,E5,2016-02-28 09:00:00,Sunday,9,42.26834477,-71.15051675
Fraud,E5,2016-02-24 16:30:00,Wednesday,16,42.28316858,-71.12973386
Confidence Games,A1,2016-02-26 20:00:00,Friday,20,42.35997967,-71.05474135
Other,D14,2016-02-24 00:00:00,Wednesday,0,42.35046039,-71.15265804
Fraud,C11,2016-02-12 14:11:00,Friday,14,42.31363409,-71.06778025
Auto Theft,E5,2016-02-15 10:00:00,Monday,10,42.28275134,-71.14216426
Harassment,B3,2016-02-14 00:00:00,Sunday,0,42.28956988,-71.08510501
Confidence Games,B3,2016-02-25 00:00:00,Thursday,0,42.28265604,-71.07374541
Larceny,E18,2016-02-26 03:36:00,Friday,3,42.27868789,-71.1173443
Fraud,B2,2016-02-07 09:00:00,Sunday,9,42.28863812,-71.06631579
Larceny,D14,2016-02-19 18:00:00,Friday,18,42.35272466,-71.12927406
Confidence Games,D14,2016-02-19 18:00:00,Friday,18,42.35272466,-71.12927406
Investigate Person,E18,2016-02-24 11:29:00,Wednesday,11,42.28115468,-71.11299557
Larceny,D14,2016-02-27 13:44:00,Saturday,13,42.35110337,-71.16524536
Larceny,B2,2016-02-05 19:40:00,Friday,19,42.2518944,-71.1253531
Larceny,B2,2016-02-05 19:40:00,Friday,19,42.2518944,-71.1253531
Property Lost,B2,2016-02-17 07:00:00,Wednesday,7,42.31190343,-71.09255937
Embezzlement,B2,2016-02-03 00:01:00,Wednesday,0,42.32809966,-71.06321676
Restraining Order Violations,C11,2016-02-22 08:00:00,Monday,8,42.28526024,-71.06444063
Missing Person Located,C11,2016-02-01 12:39:00,Monday,12,42.27230624,-71.06721386
Motor Vehicle Accident Response,B2,2016-02-28 22:00:00,Sunday,22,42.33200738,-71.10996541
Fraud,D4,2016-02-24 15:28:00,Wednesday,15,42.33322661,-71.08081884
Larceny,C11,2016-02-20 11:00:00,Saturday,11,42.29848866,-71.06313294
Property Lost,E5,2016-02-15 06:00:00,Monday,6,42.28709355,-71.14822128
Larceny,C11,2016-02-14 11:23:00,Sunday,11,42.28492596,-71.07135254
Fraud,A1,2016-02-25 16:26:00,Thursday,16,42.36183857,-71.05976489
Other,E5,2016-02-29 18:00:00,Monday,18,42.28090111,-71.13757375
Larceny From Motor Vehicle,E13,2016-02-17 23:00:00,Wednesday,23,42.3222263,-71.10662828
Fraud,D4,2016-02-24 18:00:00,Wednesday,18,42.33954199,-71.06940877
Residential Burglary,D14,2016-02-20 08:00:00,Saturday,8,42.35517786,-71.16349999
Disorderly Conduct,D14,2016-02-28 00:10:00,Sunday,0,42.34206511,-71.15860127
Investigate Property,D14,2016-02-28 00:10:00,Sunday,0,42.34206511,-71.15860127
Motor Vehicle Accident Response,E13,2016-02-26 11:45:00,Friday,11,42.30590507,-71.11483979
Property Lost,E13,2016-02-15 09:35:00,Monday,9,42.31532445,-71.10427615
Vandalism,A7,2016-02-27 23:00:00,Saturday,23,42.37817916,-71.03833871
Harassment,B2,2016-02-09 12:14:00,Tuesday,12,42.3263576,-71.07886301
Larceny,B3,2016-02-16 18:00:00,Tuesday,18,42.27056677,-71.10100994
Investigate Property,B2,2016-02-29 09:58:00,Monday,9,42.30812619,-71.07692974
Other,A7,2016-02-02 17:00:00,Tuesday,17,42.38490217,-71.00186562
Property Lost,E18,2016-02-29 22:00:00,Monday,22,42.24801184,-71.12255595
Auto Theft,E18,2016-02-28 15:00:00,Sunday,15,42.27380942,-71.11996035
Fraud,E13,2016-02-18 15:16:00,Thursday,15,42.30800286,-71.10123748
Landlord/Tenant Disputes,C6,2016-02-17 00:01:00,Wednesday,0,42.33488926,-71.02817379
Investigate Property,D4,2016-02-25 11:38:00,Thursday,11,42.34717363,-71.0964439
Harassment,D4,2016-02-22 11:01:00,Monday,11,42.3465382,-71.09880598
Larceny,C11,2016-02-27 17:17:00,Saturday,17,42.31137657,-71.05460091
Larceny,C11,2016-02-22 12:00:00,Monday,12,42.29999913,-71.05383633
Auto Theft,A1,2016-02-26 08:00:00,Friday,8,42.35174282,-71.0627594
Fraud,A7,2016-02-19 12:00:00,Friday,12,42.38069279,-71.02954916
Harassment,D14,2016-02-21 13:00:00,Sunday,13,42.34296158,-71.15491617
Medical Assistance,E18,2016-02-29 20:00:00,Monday,20,42.25267625,-71.11772984
Investigate Property,B2,2016-02-27 13:39:00,Saturday,13,42.33225457,-71.11160342
License Plate Related Incidents,E13,2016-02-04 07:00:00,Thursday,7,42.3211829,-71.1068278
Violations,E13,2016-02-04 07:00:00,Thursday,7,42.3211829,-71.1068278
Towed,E13,2016-02-04 07:00:00,Thursday,7,42.3211829,-71.1068278
Property Lost,D4,2016-02-27 00:30:00,Saturday,0,42.34489594,-71.09659186
Motor Vehicle Accident Response,A15,2016-02-28 16:00:00,Sunday,16,42.37554598,-71.06272197
Property Lost,E5,2016-02-18 14:30:00,Thursday,14,42.27881657,-71.16080623
Property Lost,C11,2016-02-27 10:00:00,Saturday,10,42.31021459,-71.05783009
Motor Vehicle Accident Response,B2,2016-02-26 21:00:00,Friday,21,42.3308035,-71.07376345
Property Lost,B2,2016-02-20 11:00:00,Saturday,11,42.33234913,-71.09324099
Counterfeiting,A7,2016-02-29 00:00:00,Monday,0,42.36757484,-71.03785065
Robbery,D14,2016-02-02 00:00:00,Tuesday,0,42.35934409,-71.1538978
Missing Person Located,E18,2016-02-29 16:30:00,Monday,16,42.26809427,-71.0990997
Counterfeiting,B2,2016-02-26 16:00:00,Friday,16,42.31363545,-71.08251322
Larceny,D4,2016-02-20 19:00:00,Saturday,19,42.3353741,-71.0783156
Confidence Games,D14,2016-02-29 19:05:00,Monday,19,42.345559,-71.14755192
Property Found,D4,2016-02-20 15:00:00,Saturday,15,42.34260007,-71.09003563
Motor Vehicle Accident Response,D4,2016-02-26 08:40:00,Friday,8,42.35451931,-71.07588082
Other,B3,2016-02-11 00:00:00,Thursday,0,42.28072751,-71.07713631
Confidence Games,D4,2016-02-29 19:32:00,Monday,19,42.34646505,-71.07070436
Motor Vehicle Accident Response,C11,2016-02-18 21:30:00,Thursday,21,42.31568139,-71.05308742
Motor Vehicle Accident Response,E5,2016-02-21 10:30:00,Sunday,10,42.27904477,-71.12498444
Vandalism,A7,2016-02-29 15:00:00,Monday,15,42.38298068,-71.01730351
Property Lost,D4,2016-02-27 09:00:00,Saturday,9,42.35074192,-71.07146111
Other,E18,2016-02-27 10:53:00,Saturday,10,42.25629375,-71.12720457
Property Lost,C6,2016-02-26 00:01:00,Friday,0,42.3369627,-71.03130111
Property Lost,E13,2016-02-25 19:30:00,Thursday,19,42.300996,-71.114609
Aggravated Assault,B2,2016-02-24 12:30:00,Wednesday,12,42.33017987,-71.09061217
Disorderly Conduct,B2,2016-02-02 00:00:00,Tuesday,0,42.33017987,-71.09061217
Harassment,C11,2016-02-27 01:47:00,Saturday,1,42.31327922,-71.05292093
Larceny From Motor Vehicle,C6,2016-02-09 19:00:00,Tuesday,19,42.33361072,-71.04589653
Investigate Person,E13,2016-02-28 09:30:00,Sunday,9,42.31236627,-71.0993374
Police Service Incidents,B3,2016-02-26 20:00:00,Friday,20,42.28482577,-71.09137369
Confidence Games,C11,2016-02-24 00:00:00,Wednesday,0,42.29883568,-71.07173849
Property Lost,B3,2016-02-27 11:00:00,Saturday,11,42.28482577,-71.09137369
Firearm Discovery,B3,2016-02-17 16:00:00,Wednesday,16,42.28482577,-71.09137369
Towed,D4,2016-02-19 15:30:00,Friday,15,42.34243945,-71.0844553
Counterfeiting,B2,2016-02-12 17:00:00,Friday,17,42.2518944,-71.1253531
Fraud,B2,2016-02-12 17:00:00,Friday,17,42.2518944,-71.1253531
Motor Vehicle Accident Response,A1,2016-02-27 15:30:00,Saturday,15,42.35800156,-71.06044213
Other,D4,2016-02-29 21:30:00,Monday,21,42.34186765,-71.07272215
Larceny From Motor Vehicle,E5,2016-02-29 21:00:00,Monday,21,42.27919516,-71.1403396
Larceny,D4,2016-02-28 00:30:00,Sunday,0,42.34717363,-71.0964439
Liquor Violation,B2,2016-02-29 20:06:00,Monday,20,42.32950632,-71.08398018
Confidence Games,D4,2016-02-29 18:48:00,Monday,18,42.34993026,-71.09407011
Confidence Games,B2,2016-02-27 09:00:00,Saturday,9,42.33465694,-71.09708333
Larceny,D4,2016-02-12 19:00:00,Friday,19,42.3483427,-71.0722253
Other,C11,2016-02-29 18:00:00,Monday,18,42.28944478,-71.06559395
Fraud,E5,2016-02-24 12:00:00,Wednesday,12,42.28215569,-71.1309155
Larceny From Motor Vehicle,C11,2016-02-24 21:00:00,Wednesday,21,42.28958015,-71.05767384
Larceny,C11,2016-02-29 18:10:00,Monday,18,42.30252186,-71.05202639
Confidence Games,D4,2016-02-20 12:00:00,Saturday,12,42.34364059,-71.06486661
Larceny From Motor Vehicle,A1,2016-02-27 18:00:00,Saturday,18,42.35803568,-71.0623396
Missing Person Located,E13,2016-02-06 19:00:00,Saturday,19,42.31388733,-71.0968344
Aggravated Assault,C11,2016-02-28 17:00:00,Sunday,17,42.30114533,-71.05991447
Simple Assault,C6,2016-02-29 09:00:00,Monday,9,42.33471684,-71.03867801
Confidence Games,E5,2016-02-29 09:00:00,Monday,9,42.28642835,-71.15427278
Larceny,D4,2016-02-25 17:30:00,Thursday,17,42.34856631,-71.08385128
Property Lost,B2,2016-02-28 18:30:00,Sunday,18,42.33391238,-71.10524519
Property Found,D14,2016-02-29 13:00:00,Monday,13,42.349056,-71.1504985
Larceny,A1,2016-02-26 12:33:00,Friday,12,42.35680075,-71.05893025
Motor Vehicle Accident Response,A15,2016-02-29 19:30:00,Monday,19,42.37787739,-71.06533972
Other,B2,2016-02-29 18:00:00,Monday,18,42.31666791,-71.08401705
Auto Theft,C11,2016-02-29 19:50:00,Monday,19,42.30537848,-71.06151356
Auto Theft,B3,2016-02-29 23:30:00,Monday,23,42.2840622,-71.08170839
Larceny From Motor Vehicle,E13,2016-02-08 12:00:00,Monday,12,42.31249669,-71.11277626
Property Related Damage,A1,2016-02-26 00:00:00,Friday,0,42.35783582,-71.06611774
Police Service Incidents,D4,2016-02-22 00:01:00,Monday,0,42.34439568,-71.08632016
Confidence Games,E5,2016-02-16 11:42:00,Tuesday,11,42.29056228,-71.12500267
Fraud,D4,2016-02-29 11:24:00,Monday,11,42.33486614,-71.0785518
Motor Vehicle Accident Response,C11,2016-02-29 16:00:00,Monday,16,42.28654114,-71.04981983
Harassment,C6,2016-02-17 18:30:00,Wednesday,18,42.33985505,-71.05439202
Missing Person Reported,D4,2016-02-27 12:00:00,Saturday,12,42.3408639,-71.07399726
Missing Person Located,D4,2016-02-27 12:00:00,Saturday,12,42.3408639,-71.07399726
Fraud,C6,2016-02-29 00:01:00,Monday,0,42.32031058,-71.04920483
Vandalism,D4,2016-02-27 18:00:00,Saturday,18,42.3531455,-71.07763936
Larceny From Motor Vehicle,E5,2016-02-29 22:00:00,Monday,22,42.29224995,-71.15272034
Restraining Order Violations,B3,2016-02-29 19:44:00,Monday,19,42.29792661,-71.08689609
Larceny,A1,2016-02-28 14:00:00,Sunday,14,42.36063386,-71.07005247
Property Lost,E18,2016-02-02 08:49:00,Tuesday,8,42.23651388,-71.13317161
Verbal Disputes,B3,2016-02-29 08:30:00,Monday,8,42.28911797,-71.08920499
Investigate Person,D4,2016-02-29 23:59:00,Monday,23,42.345211,-71.08814987
Motor Vehicle Accident Response,B3,2016-02-29 04:00:00,Monday,4,42.3048701,-71.08120638
Towed,C11,2016-02-29 23:29:00,Monday,23,42.31746845,-71.05616338
Aggravated Assault,B2,2016-02-29 23:13:00,Monday,23,42.32018148,-71.07129421
Missing Person Reported,B3,2016-02-29 23:20:00,Monday,23,42.30132851,-71.07870873
Missing Person Located,B3,2016-02-29 23:20:00,Monday,23,42.30132851,-71.07870873
Aggravated Assault,A7,2016-02-29 23:08:00,Monday,23,42.36967378,-71.04155054
Disorderly Conduct,A7,2016-02-29 23:08:00,Monday,23,42.36967378,-71.04155054
Residential Burglary,B2,2016-02-29 23:17:00,Monday,23,42.31369016,-71.07696741
Investigate Person,B3,2016-02-29 21:13:00,Monday,21,42.28482577,-71.09137369
Verbal Disputes,D14,2016-02-29 22:18:00,Monday,22,42.34600287,-71.14387725
Larceny From Motor Vehicle,A7,2016-02-29 21:09:00,Monday,21,42.38831841,-71.01600449
Vandalism,B2,2016-02-29 22:23:00,Monday,22,42.3346705,-71.088934
Medical Assistance,A1,2016-02-28 16:00:00,Sunday,16,42.36571448,-71.06061587
Firearm Violations,C11,2016-02-29 22:06:00,Monday,22,42.29848866,-71.06313294
Aggravated Assault,C11,2016-02-29 22:06:00,Monday,22,42.29848866,-71.06313294
Fire Related Reports,B2,2016-02-29 20:36:00,Monday,20,42.33799689,-71.1056602
Aggravated Assault,D14,2016-02-29 21:15:00,Monday,21,42.35170571,-71.11989956
Simple Assault,D14,2016-02-29 21:15:00,Monday,21,42.35170571,-71.11989956
Larceny,A1,2016-02-29 21:56:00,Monday,21,42.35103105,-71.06373331
Simple Assault,B2,2016-02-29 20:57:00,Monday,20,42.31949779,-71.09707352
Verbal Disputes,E5,2016-02-29 20:47:00,Monday,20,42.28558754,-71.12081703
Larceny From Motor Vehicle,A1,2016-02-29 21:00:00,Monday,21,42.35249485,-71.06749962
Robbery,E5,2016-02-29 21:12:00,Monday,21,42.29277202,-71.12138967
Other,B2,2016-02-29 19:04:00,Monday,19,42.31295412,-71.09259194
Violations,B2,2016-02-29 19:04:00,Monday,19,42.31295412,-71.09259194
Larceny,E13,2016-02-29 20:17:00,Monday,20,42.31771534,-71.09823049
Investigate Property,D4,2016-02-29 21:24:00,Monday,21,42.34947586,-71.0764015
Robbery,B2,2016-02-29 20:52:00,Monday,20,42.30970016,-71.08582414
Motor Vehicle Accident Response,C11,2016-02-29 20:24:00,Monday,20,42.29919694,-71.06046974
Motor Vehicle Accident Response,B2,2016-02-29 21:15:00,Monday,21,42.32734041,-71.07945869
Fraud,D4,2016-02-29 21:03:00,Monday,21,42.34447409,-71.08889326
Drug Violation,D14,2016-02-29 21:02:00,Monday,21,42.3458376,-71.14492138
Motor Vehicle Accident Response,B2,2016-02-29 19:30:00,Monday,19,42.32458564,-71.08580979
Medical Assistance,B3,2016-02-29 19:27:00,Monday,19,42.27064206,-71.09587908
Medical Assistance,C6,2016-02-29 20:21:00,Monday,20,42.33063707,-71.04902664
Verbal Disputes,B3,2016-02-29 19:28:00,Monday,19,42.28465991,-71.07839997
Medical Assistance,D14,2016-02-29 20:18:00,Monday,20,42.35828556,-71.12857456
Motor Vehicle Accident Response,B2,2016-02-29 20:46:00,Monday,20,42.32329712,-71.07549056
Verbal Disputes,E13,2016-02-29 18:36:00,Monday,18,42.30397603,-71.10476982
Medical Assistance,E13,2016-02-29 18:54:00,Monday,18,42.32483301,-71.10164757
Evading Fare,D14,2016-02-29 19:58:00,Monday,19,42.34194954,-71.14451594
Aggravated Assault,D4,2016-02-29 20:15:00,Monday,20,42.33930275,-71.07912378
Vandalism,D4,2016-02-29 19:39:00,Monday,19,42.34767067,-71.07620742
Verbal Disputes,B2,2016-02-29 19:45:00,Monday,19,42.31005741,-71.08709406
Investigate Property,C6,2016-02-29 09:00:00,Monday,9,42.3359851,-71.05008287
Drug Violation,A1,2016-02-29 19:44:00,Monday,19,42.35742501,-71.05779809
Warrant Arrests,A1,2016-02-29 19:44:00,Monday,19,42.35742501,-71.05779809
Larceny,D4,2016-02-29 19:20:00,Monday,19,42.34862382,-71.08277637
Harassment,B2,2016-02-29 19:04:00,Monday,19,42.33122453,-71.09907131
Larceny,D4,2016-02-03 21:30:00,Wednesday,21,42.34158037,-71.09884555
Investigate Person,B3,2016-02-29 17:40:00,Monday,17,42.29590385,-71.08773294
Larceny From Motor Vehicle,E13,2016-02-28 18:30:00,Sunday,18,42.32518646,-71.10550946
Vandalism,E13,2016-02-28 18:30:00,Sunday,18,42.32518646,-71.10550946
Firearm Violations,E18,2016-02-29 19:37:00,Monday,19,42.27966845,-71.1145576
Drug Violation,E18,2016-02-29 19:37:00,Monday,19,42.27966845,-71.1145576
Medical Assistance,C11,2016-02-29 18:03:00,Monday,18,42.30648026,-71.06675783
Verbal Disputes,B3,2016-02-29 19:17:00,Monday,19,42.28385993,-71.08599096
Auto Theft,C11,2016-02-29 19:34:00,Monday,19,42.30871575,-71.06039096
Missing Person Located,B2,2016-02-29 19:28:00,Monday,19,42.32935767,-71.07974589
Property Found,D14,2016-02-29 19:05:00,Monday,19,42.349056,-71.1504985
Property Lost,C11,2016-02-29 14:45:00,Monday,14,42.29019621,-71.07159012
Ballistics,D4,2016-02-29 18:12:00,Monday,18,42.35009599,-71.0773211
Investigate Person,B3,2016-02-29 18:21:00,Monday,18,42.28848287,-71.08259001
Residential Burglary,A7,2016-02-29 18:37:00,Monday,18,42.377257,-71.03873841
Property Related Damage,D4,2016-02-29 17:30:00,Monday,17,42.34241506,-71.09521114
Fraud,A15,2016-02-29 19:15:00,Monday,19,42.38670915,-71.07666219
Investigate Property,E13,2016-02-29 12:00:00,Monday,12,42.32665471,-71.10679596
